year,Number,Total_per_dist,per_under_15k,15k_to_25k,25k_to_35k,35k_to_50k,50k_to_75k,75k_to_100k,100k_to_150k,150k_to_200k,per_over_200k,Median_income_est,Margin of error,mean_income_est,Margin of error,Race
1997,"8,590",100,14.3,12.4,12.2,15.1,18.8,11.5,9.8,3.4,2.6,"45,800","1,344","61,710","2,048",hispanic
1996,"8,225",100,14.3,13.3,12.6,16,18,10.7,10.1,2.7,2.4,"43,750","1,396","59,740","2,274",hispanic
1995 11,"7,939",100,16,13.6,13.2,15.4,18.1,10,9.1,2.8,1.8,"41,220","1,477","56,260","2,076",hispanic
1994 12,"7,735",100,15.8,13.9,11.8,15.6,17.9,10.3,9.5,3.1,2.1,"43,230","1,321","58,290","2,393",hispanic
1993 13,"7,362",100,14.3,14.8,11.9,16.2,18.5,10,9.8,2.7,1.7,"43,170","1,427","57,130","1,976",hispanic
1992 14,"7,153",100,14.6,13.5,12.7,15.4,18.9,10.9,9.5,2.9,1.5,"43,680","1,485","55,710","1,440",hispanic
1991,"6,379",100,14.1,13.9,11.4,15.8,18.7,11.7,9.6,2.9,2,"44,970","1,539","57,220","1,506",hispanic
1990,"6,220",100,13.9,13.7,11.3,15.3,20,11.8,9.2,2.9,1.8,"45,860","1,547","57,450","1,558",hispanic
1989,"5,933",100,13.8,11.7,11.7,15.6,18.5,12.3,11.2,3.1,2.1,"47,210","1,506","60,290","1,704",hispanic
1988,"5,910",100,14.9,12.4,12.1,14.8,19,12.1,9.8,2.7,2.1,"45,770","1,908","58,440","2,038",hispanic
1987 15,"5,642",100,15.1,13,12.5,15,18.3,11.5,9.9,2.8,1.9,"45,080","1,611","57,790","1,760",hispanic
1986,"5,418",100,15.2,13.1,12.3,15.2,18.5,11.3,10.3,3,1.2,"44,230","1,895","55,850","1,511",hispanic
1985 16,"5,213",100,15.3,14.5,12.2,15.2,19.4,10.8,9.4,2.2,1,"42,790","1,644","53,470","1,431",hispanic
1984 17,"4,883",100,15.8,13.6,11.9,14.3,20.5,11.4,9.1,2.3,1.2,"43,050","1,775","53,530","1,717",hispanic
1983,"4,326",100,15.8,14.8,12.1,16.2,19.3,10.8,8.1,2.1,0.8,"41,980","1,750","51,120","1,615",hispanic
1982,"4,085",100,15.3,15.5,12.3,15.5,19.3,10.8,8.7,1.3,1.2,"41,740","1,814","51,510","1,719",hispanic
1981,"3,980",100,13.8,12.9,13.2,15.7,21.1,11.2,9.6,1.6,1,"44,620","2,010","53,580","1,684",hispanic
1980,"3,906",100,14.2,13,13,16.6,19.5,12.2,8.6,1.9,1,"43,610","1,945","53,270","1,745",hispanic
1979 18,"3,684",100,12.4,12.6,11.3,17.6,21.3,12.2,9.2,2.3,1.1,"46,270","2,194","55,980","1,850",hispanic
1978,"3,291",100,12.2,12.8,12.6,17.3,21.1,12.9,8.4,1.9,0.8,"45,840","1,827","54,150","1,802",hispanic
1977,"3,304",100,12.2,14.5,12.4,18.1,21.1,11.7,7.4,1.8,0.6,"44,180","1,276","52,140","1,324",hispanic
1976 19,"3,081",100,14.3,14,13.1,17.6,20.1,12,6.8,1.7,0.5,"42,270","1,483","49,960","1,337",hispanic
1975 20,"2,948",100,14.4,14.1,13.9,18,21,10.8,6.1,1.1,0.7,"41,400","1,506","49,140","1,436",hispanic
"1974 20, 21","2,897",100,11.5,13.5,13.8,17,23,11.9,7.4,1.4,0.8,"45,050","1,623","52,190","1,398",hispanic
1973,"2,722",100,10.8,12.7,13.3,18.3,23,12.7,7.4,1.4,0.5,"45,250","1,691","52,570","1,407",hispanic
1972 22,"2,655",100,10.6,14.4,13,19,24.5,9.9,6.7,1.1,0.8,"45,260","1,455","52,020","1,455",hispanic
