year,Number,Total_per_dist,per_under_15k,15k_to_25k,25k_to_35k,35k_to_50k,50k_to_75k,75k_to_100k,100k_to_150k,150k_to_200k,per_over_200k,Median_income_est,Margin of error,mean_income_est,Margin of error,Race
2021,"85,080",100,6.8,7.1,6.9,9.6,14.8,12.4,17.2,10.1,15.1,"84,110","1,165","119,400","1,497",white alone not hispanic
2020,"84,710",100,6.4,6.9,7,9.5,15.1,12.3,17.6,10.2,15,"84,990",958,"118,800","1,562",white alone not hispanic
2019,"84,870",100,6.1,6.5,6.4,9.7,15.6,12.2,18,10.2,15.4,"86,630",998,"121,500","1,548",white alone not hispanic
2018,"84,730",100,6.6,6.9,7.1,10,15.6,13.2,17.8,9.6,13.2,"81,650",753,"113,600","1,352",white alone not hispanic
2017,"84,710",100,6.7,7.3,7.1,10.9,15.3,12.6,17.4,9.2,13.6,"80,400","1,307","112,900","1,369",white alone not hispanic
2017,"84,680",100,6.8,7.5,7.2,10.9,14.7,12.9,17.4,9.6,13,"80,350","1,238","110,200","1,282",white alone not hispanic
2016,"84,390",100,7.1,7.2,7.5,10.7,16.1,12.6,17.3,9.3,12.3,"78,040","1,007","107,700","1,202",white alone not hispanic
2015,"84,450",100,6.9,8.1,7.8,11.4,15.2,12.5,17.6,9.5,11,"76,200","1,079","103,600","1,057",white alone not hispanic
2014,"84,230",100,8.1,8.4,7.8,11.5,15.8,12.8,16.3,8.9,10.5,"72,890",732,"99,750","1,152",white alone not hispanic
2013,"84,430",100,7.9,8.4,7.9,10.6,16.3,13.4,16.5,8.5,10.5,"74,010","1,076","99,650","1,711",white alone not hispanic
2013,"83,640",100,7.6,8.7,7.7,11.7,16.7,13.3,16.5,8.5,9.2,"71,490","1,235","97,330","1,273",white alone not hispanic
2012,"83,790",100,7.4,8.8,8.5,11.7,16.5,13.2,16.5,8.5,8.9,"70,790",733,"96,660","1,052",white alone not hispanic
2011,"83,570",100,7.3,8.5,8.5,11.9,16.7,13.4,16.4,8.2,9.1,"70,130",683,"96,270",995,white alone not hispanic
2010,"83,310",100,7.3,8.9,8.3,11.5,16.4,13.2,16.9,8.5,9,"71,070",957,"95,700",987,white alone not hispanic
2009,"83,160",100,6.9,7.9,8.8,11.2,17.1,13.5,17,8.5,9.1,"72,040",607,"96,890",651,white alone not hispanic
2008,"82,880",100,6.9,8.1,8.6,11.1,16.4,13.5,17.6,8.6,9.1,"73,160",488,"97,630",657,white alone not hispanic
2007,"82,770",100,6.5,8.4,7.9,10.8,16.3,13.3,17.7,9.1,9.9,"75,010",555,"99,950",663,white alone not hispanic
2006,"82,680",100,6.6,7.7,7.7,12,16.8,13.2,17.6,8.6,9.7,"73,440",433,"100,500",730,white alone not hispanic
2005,"82,000",100,6.9,8.1,7.9,11.3,17.2,13.1,17.7,8.4,9.3,"73,210",408,"98,890",719,white alone not hispanic
2004,"81,630",100,7.2,8.3,8,11.7,16.8,13.2,17.6,8.3,8.9,"72,550",547,"96,790",693,white alone not hispanic
2003,"81,150",100,7,8.4,8.1,11.4,16.5,13.5,17.4,8.9,8.8,"72,640",578,"97,130",678,white alone not hispanic
2002,"81,170",100,7.1,8.5,7.8,11.6,16.4,13.6,17.9,8.6,8.5,"72,790",470,"96,410",674,white alone not hispanic
2001,"80,820",100,6.8,8.4,7.9,11.6,16.7,13.6,17.7,8.5,8.9,"72,770",496,"98,130",732,white not hispanic
2000,"80,530",100,6.7,8.2,7.6,12,16.7,13.7,17.9,8.5,8.7,"73,310",484,"98,110",724,white not hispanic
1999,"79,820",100,6.4,8.1,8.2,11.6,16.9,13.8,18.1,8.3,8.6,"73,400",763,"97,390",949,white not hispanic
1998,"78,580",100,6.6,8.2,8.1,11.4,17.4,14.1,18.2,8.1,7.8,"72,010",681,"94,920",955,white not hispanic
1997,"77,940",100,7.1,8.5,8.6,11.6,17.8,13.9,17.6,7.5,7.3,"69,790",600,"92,120",N,white not hispanic
1996,"77,240",100,7.3,8.8,8.4,12.4,17.7,14.3,17.4,7,6.6,"68,140",769,"88,670",N,white not hispanic
1995,"76,930",100,7.2,8.7,8.8,12.2,18.6,14.4,17,7,6.1,"67,040",575,"87,000",857,white not hispanic
1994,"77,000",100,7.9,9.2,8.8,12.9,18.4,13.8,16.6,6.4,6,"64,830",565,"85,240",832,white not hispanic
1993,"75,700",100,8.2,9.1,8.8,12.9,18.3,14.4,16.2,6.6,5.5,"64,450",621,"83,790",822,white not hispanic
1992,"75,110",100,8.1,9.1,9,12.6,18.6,14.6,16.6,6.4,4.9,"64,340",655,"80,450",610,white not hispanic
1991,"75,630",100,8.1,8.9,8.6,13.2,18.7,14.7,16.5,6.5,4.8,"64,060",518,"80,010",587,white not hispanic
1990,"75,040",100,7.8,8.5,8.6,12.7,19.6,14.6,16.7,6.3,5.2,"65,610",503,"81,690",608,white not hispanic
1989,"74,500",100,7.3,8.7,8.8,12.2,18.8,15,17,6.7,5.5,"66,900",539,"83,570",673,white not hispanic
1988,"74,070",100,8.1,8.3,8.5,12.5,19,15.2,17.1,6.3,5,"66,490",644,"81,370",629,white not hispanic
1987,"73,120",100,8.2,8.5,8.6,12.5,19.1,15.1,17.1,6.2,4.7,"65,780",602,"80,330",614,white not hispanic
1986,"72,070",100,8.8,8.6,8.5,12.8,19.3,15.2,16.6,5.8,4.5,"64,520",547,"78,760",595,white not hispanic
1985,"71,540",100,8.9,9.1,8.9,13.3,19.6,14.9,15.9,5.4,3.8,"62,400",524,"75,580",564,white not hispanic
1984,"70,590",100,8.6,9.4,9.2,13.6,20.1,14.8,15.6,5.2,3.6,"61,150",558,"73,700",542,white not hispanic
1983,"69,650",100,9.1,9.2,10,13.5,20.5,14.8,14.9,4.7,3.3,"59,290",491,"71,660",504,white not hispanic
1982,"69,210",100,9.4,9.6,9.4,13.8,20.9,14.9,14.4,4.5,3.1,"59,050",489,"70,630",498,white not hispanic
1981,"69,000",100,9.4,9.3,10,13.8,20.2,15.5,14.7,4.6,2.6,"59,620",499,"70,110",480,white not hispanic
1980,"68,110",100,9,9.4,9.2,13.8,20.4,16,14.9,4.6,2.6,"60,750",568,"70,930",526,white not hispanic
1979,"67,200",100,9,9,8.6,13.5,20.4,16.1,15.5,4.8,3.1,"62,090",566,"72,940",525,white not hispanic
1978,"64,840",100,8.7,9.5,9.2,13,20.5,16.4,15.5,4.4,2.9,"61,970",537,"72,260",511,white not hispanic
1977,"63,720",100,9.2,9.8,9.1,13.3,21,15.9,15.1,3.9,2.6,"60,390",560,"70,270",546,white not hispanic
1976 19,"62,370",100,9.3,9.5,9.2,13.8,21,16.7,14.4,3.8,2.4,"59,910",574,"69,340",509,white not hispanic
1975 20,"61,530",100,9.5,10,9.3,14,21.9,15.8,14,3.4,2.2,"58,060",507,"67,540",538,white not hispanic
"1974 20, 21","60,160",100,9.1,9.1,9.1,13.3,22.4,16.3,14.4,4,2.3,"59,740",483,"69,470",499,white not hispanic
1973,"59,240",100,9.3,9.3,8.5,12.3,21.9,16.4,15.4,4.1,2.7,"61,750",475,"70,940",494,white not hispanic
1972 22,"58,010",100,10.1,8.9,8.4,13.2,22.4,16.3,14.4,3.9,2.5,"60,830",475,"69,930",514,white not hispanic
2022,"19,160",100,13.6,9.7,10.2,12.7,18.1,11.8,11.8,6,6.1,"53,500","1,544","77,150","2,018",black alone or combination
